,COUNTRY,AREA_HA,BROADLEAVED,CONIFER,MIXED,SCLEROPHYLLOUS,TRANSITIONAL,OTHERNATLC,AGRIAREAS,ARTIFSURF,OTHERLC,%NAT2000,A1,X1,X2_3,B1,B2,B3,C1,C2,C3,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E6,E7,F1,F2,F3,F4,F5,F6,F7,F8,F9,FB,G1,G2,G3,G4,G5,H2,H3,H4,H5,I1,I2,J1,J2,J3,J4,J5,J6,Total,percentage
10,EE,10444,619.5145168039068,1644.9666885055435,1218.5305172364265,0.0,748.61723836272,2432.1390834995077,3289.8119283871656,272.3427806704201,218.0772465244686,1227.4360510884244,360.0,0.0,1550.0,2750.0,240.0,0.0,205560.0,3200.0,869.9999999999999,100670.0,34720.0,2940.0,5500.0,16750.0,20.0,27839.999999999996,346650.0,151330.0,0.0,0.0,0.0,0.0,0.0,5990.0,40.0,0.0,0.0,0.0,0.0,0.0,980.0000000000001,1043329.9999999999,0.0,840170.0000000001,681250.0,141550.0,250.0,0.0,0.0,490.00000000000006,811460.0,6060.0,31050.0,57220.00000000001,9110.0,5730.0,940.0,1390.0,4537950.0,0.2301479743055785
11,ES,2060403,176265.6676788429,177257.5272949312,33303.78613043304,341657.9451519427,372283.4389300229,701983.4218760373,245531.04530818918,8870.360437930767,3236.807190860711,625155.734765624,37060.0,8690.0,8120.0,20010.0,70.0,8030.0,272010.0,43650.0,3110.0,660.0,270.0,0.0,30.0,4530.0,31450.0,2985870.0,1972540.0000000002,172070.0,202330.0,279540.0,919770.0000000001,0.0,173970.0,1061480.0,171980.0,1968109.9999999998,970860.0,965479.9999999999,95400.0,819.9999999999999,1625260.0,9421810.0,2251240.0,6460810.0,826690.0,985129.9999999999,21410.0,334210.0,350.0,609410.0,13826979.999999998,85060.0,755370.0,600430.0,103459.99999999999,290790.0,25180.0,5210.0,50606690.0,4.071404393371706
12,FI,9144,90.07561580650736,1935.1604030620244,942.6978435425004,0.0,468.1891435783367,2127.663536941434,3053.0988906235825,399.3814587548487,126.73310767218308,1696.5652696556756,14919.999999999998,0.0,0.0,130.0,0.0,6180.0,3267160.0,78260.0,80.0,69450.0,49040.0,1572840.0,10.0,360.0,130.0,26150.0,91640.0,35740.0,56920.00000000001,0.0,0.0,201710.0,244510.0,91440.0,1000.0,0.0,0.0,0.0,0.0,3140.0,40.0,1620610.0,0.0,18229340.0,3953669.9999999995,1063420.0,1680.0,96710.0,0.0,9960.0,2478360.0,30010.000000000004,112770.0,323330.0,24560.0,28520.0,10000.0,4710.0,33798480.0,0.027054471088640675
13,FR,388855,43121.20736099188,33449.003951481944,14304.37167996986,64843.951939489365,80663.69485853075,118642.79577625562,29222.717849657958,4289.501282983067,309.75530029263433,85577.84249097716,293750.0,50060.0,65170.00000000001,18680.0,280.0,1019.9999999999999,225710.0,119930.0,1800.0,2320.0,4300.0,0.0,3340.0,40440.0,16200.0,920800.0,12343660.0,269640.0,402850.0,3620.0000000000005,19260.0,0.0,187330.0,208669.99999999997,9970.0,245800.0,1210.0,51629.99999999999,0.0,330.0,1052520.0,11683550.0,269420.0,2554750.0,2276850.0,779120.0,17500.0,459110.00000000006,24820.0,87110.0,16612400.0,218960.0,1583400.0,1656070.0,78620.0,288000.0,40110.0,1850.0,55191919.99999999,0.7045505936376195
14,GB,150384,495.75905987337984,2597.48845772334,312.13639773963604,0.0,52177.90222143293,92929.56157286651,791.6398877626722,775.1264535856399,302.38594888825,42053.344269262234,313090.0,108730.0,819.9999999999999,21540.0,1580.0,1700.0,258630.00000000003,23750.0,370.0,2178280.0,4780.0,0.0,2190.0,13490.0,1889.9999999999998,716340.0,6017820.0,1780640.0000000002,146580.0,0.0,0.0,0.0,510650.0,1297290.0,114640.00000000001,0.0,0.0,0.0,0.0,770.0,5240.0,1176670.0,0.0,1170180.0,315040.0,277580.0,24140.0,43050.0,0.0,89310.0,5957250.0,400640.0,893250.0,831110.0,70980.0,144830.0,2690.0,2540.0,24920030.0,0.6034663682186578
15,GR,831869,15444.26827029242,26698.79866277205,20280.176715736616,197195.24199545424,129861.03290098076,165299.58877744467,262472.62301311386,13820.298847926691,778.9708161060131,138772.43998571424,32670.0,1010.0,21110.0,97400.0,0.0,2790.0,86380.0,13890.0,10.0,0.0,60.0,0.0,30.0,12700.0,6290.0,938650.0,721140.0,78240.0,54400.0,3420.0000000000005,5090.0,0.0,54790.0,22540.0,0.0,1035220.0000000001,12900.0,622170.0,0.0,50.0,167600.0,2866080.0,686520.0,927870.0000000001,404920.0,597250.0,15030.000000000002,89240.0,0.0,141130.0,2987950.0,19200.0,207210.0,181620.0,35790.0,48760.0,9370.0,370.0,13208829.999999998,6.297825015538849
16,HR,289303,35046.07204157693,2061.330914936065,1780.5355119799433,13204.364355451207,70418.8660470532,111158.23433545629,53004.60087992645,2411.03663437552,217.959279144221,4.0,600.0,0.0,100.0,15450.0,0.0,520.0,21240.0,18590.0,5730.0,0.0,0.0,0.0,440.00000000000006,12420.0,0.0,314870.0,837279.9999999999,520.0,60.0,0.0,2230.0,0.0,0.0,4310.0,2710.0,93850.0,0.0,0.0,0.0,0.0,29150.0,2188110.0,18690.0,273200.0,188280.0,246910.0,550.0,21940.0,0.0,42200.0,1042100.0,10450.0,116559.99999999999,101970.0,6280.0,23580.0,4530.0,60.0,5645460.0,5.124524839428497
17,HU,26533,3151.688248246764,119.15191303190322,326.6129412685254,0.0,4226.169674635673,9380.842216879639,9083.300057224658,138.1807803675605,107.05416832154692,14320.428848353675,0.0,0.0,0.0,0.0,0.0,0.0,114130.0,38350.0,6540.000000000001,5250.0,350.0,0.0,12480.0,55879.99999999999,9680.0,80970.0,1056030.0,140840.0,0.0,155920.0,6010.0,0.0,0.0,40.0,50.0,70.0,0.0,0.0,0.0,0.0,147160.0,1765640.0000000002,0.0,89840.0,101800.0,203100.0,250.0,10.0,0.0,1290.0,4638830.0,37710.0,378900.0,200470.0,11940.0,30700.0,9140.0,1889.9999999999998,9301250.0,0.28526273350356135
18,IE,60280,247.859600325463,1049.293425945912,57.99595872010862,0.0,10403.812818295912,46158.11316807836,1654.2656337603617,20.99999999995116,687.6593948348924,29817.923876855104,53850.0,25739.999999999996,1830.0,11010.0,100.0,1730.0,118420.0,9840.0,480.0,983150.0,3350.0,0.0,4880.0,21820.0,140.0,55450.0,3333160.0,696300.0,0.0,0.0,0.0,0.0,0.0,80010.0,10610.0,0.0,0.0,0.0,0.0,0.0,260.0,146220.0,0.0,363930.0,126330.0,120830.0,5040.0,25930.0,0.0,41470.0,552380.0,34420.0,88230.0,118870.0,11180.0,20280.0,60.0,240.0,7067510.000000001,0.8529170811219225
19,IT,1191026,123611.52012578584,40953.42091917324,31462.37861076164,153886.5115370495,128993.49844779365,235637.97871540918,467583.7829610912,6476.373841667024,2412.5348404077085,287663.817197673,44210.0,80.0,90670.0,24280.0,580.0,1590.0,184180.0,45200.0,1340.0,50.0,90.0,0.0,600.0,10540.0,4200.0,1092840.0,1790990.0000000002,20400.0,702100.0,8130.0,138390.0,0.0,233719.99999999997,26920.0,4870.0,518689.99999999994,55779.99999999999,137640.0,0.0,270.0,851240.0,8121950.0,1619930.0,1523290.0,562540.0,389630.0,45180.0,454830.0,38850.0,85580.0,9097030.0,84400.0,1044829.9999999999,825250.0,60400.0,172050.0,20950.0,660.0,30136900.0,3.952052135422024
20,KS,58781,22385.67700718224,701.4807901005137,197.73295493562543,0.0,14323.80137888593,16042.618898143262,5098.5057906358825,21.18318006969655,9.999999999995431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,540.0,0.0,10.0,0.0,0.0,0.0,70.0,0.0,60160.0,161050.0,6350.0,20300.0,0.0,0.0,0.0,1280.0,1180.0,0.0,480.0,0.0,0.0,0.0,0.0,5960.0,470160.00000000006,0.0,22400.0,14719.999999999998,49860.0,320.0,1490.0,0.0,10760.0,217100.0,140.0,16360.0,23600.0,1980.0,1830.0,60.0,409.99999999999994,1090710.0,5.389241869974604
21,LT,8136,879.1449121973656,451.6387916660452,995.7089206407794,0.0,1115.8004562166473,267.4806100208196,3773.742915966492,246.24622783845948,406.2371654447737,943.987499401417,0.0,0.0,38280.0,980.0000000000001,0.0,0.0,105809.99999999999,13490.0,1660.0000000000002,28610.000000000004,4470.0,0.0,1120.0,9970.0,0.0,37460.0,1244570.0,55360.0,0.0,0.0,0.0,0.0,0.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,6150.0,1036679.9999999999,0.0,729760.0,554510.0,94710.0,790.0,0.0,0.0,800.0,2284520.0,15830.000000000002,115009.99999999999,126380.0,4050.0,13690.0,2260.0,700.0,6528900.0,0.12461517254055048
22,LV,27042,3154.442621732094,1445.6209199199495,3715.3277426157993,0.0,4012.464098131414,2997.6398238321062,11297.795395179888,185.49788249086524,233.2115160805364,3688.910107062076,70.0,0.0,0.0,2490.0,0.0,0.0,104040.00000000001,16470.0,980.0000000000001,95020.0,6360.0,830.0000000000001,490.00000000000006,11540.0,0.0,17000.0,952740.0,169110.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,3440.0,1591400.0,0.0,1157640.0,770460.0,264650.0,180.0,0.0,0.0,2420.0,1135670.0,16850.0,48830.0,76490.0,4740.0,6930.0,1900.0,260.0,6459020.0,0.4186703246003263
